,Population,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,TimelyResponse,TimelyFixes,TimelyReplacements,Reliability,Options,RespectfulResponse,CourteousExchange,ActiveListening,Contract,Churn,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Area_Rural,Area_Suburban,Area_Urban,Marital_Divorced,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Female,Gender_Male,Gender_Nonbinary,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Bank Transfer(automatic),PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check,Bandwidth_GB_Year
4886,-0.676037828218263,-0.9723379092716081,-0.8734435208937832,0.3753717653437264,-0.16238582179593788,0.6557058797007002,1.0175876473118841,-0.6258635316811727,-1.050881054852976,1.863326022595687,0.49067915569344955,0.4783542977305066,-1.446602777027496,1.4647605064018812,0.4948436788828508,-0.48116458471979834,-0.4954056262379492,-0.4818284474094517,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-0.9980943878393762
8226,-0.5596989511586069,0.4249000692764709,-0.7768151112011352,-0.6456847869175666,0.9596391893180938,-2.6492632720165386,0.005867974104602262,-0.6258635316811727,0.339551850995838,-0.5857117279449975,0.49067915569344955,-1.4547808719219755,0.4990633655784165,-0.48500389479862627,-0.48098688487745467,-0.48116458471979834,0.47693122604458105,-0.4818284474094517,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.220585655324881
2703,-0.5182631867264006,0.4249000692764709,0.5759826244959356,-0.5076813796641858,2.501789689424252,-1.657772526501367,-1.0058516991026796,-0.6258635316811727,-0.795096984415024,0.4621622303463757,-1.436575972717586,-1.4547808719219755,-1.446602777027496,-0.48500389479862627,-0.48098688487745467,-0.48116458471979834,-1.4677424785204796,-1.4540408110282002,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,-0.845768598995124
2700,0.6854526990867895,0.8906460621258305,-0.7285009063548112,-0.21058621438245223,1.5029625843904026,-0.0052879506427475865,0.005867974104602262,0.9466579047036832,-0.9866789648410466,-0.9931899337957225,-0.47294840851206826,-2.4213484567482166,-0.4737697057245398,-0.48500389479862627,-0.48098688487745467,-1.4487185455478664,0.47693122604458105,0.4903839162092966,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,-0.9967057346188505
7822,-0.4640086657390803,1.82213804782455,-1.6947850032812906,0.16484607796080417,0.004923548524279908,0.6557058797007002,2.0293073205191656,0.9466579047036832,1.4139463319920027,0.2870170474126589,-0.47294840851206826,0.4783542977305066,0.4990633655784165,-0.48500389479862627,1.4706742426431563,0.48638937610826977,-0.4954056262379492,-0.4818284474094517,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1.6313785226307254
6144,-0.6695245140767456,0.4249000692764709,0.14115478087901998,-0.9687040200423029,0.6669449897115218,-0.0052879506427475865,0.005867974104602262,-0.6258635316811727,1.2264522443517292,1.1060232067922025,0.49067915569344955,-0.48821328709573447,-0.4737697057245398,1.4647605064018812,-0.48098688487745467,-0.48116458471979834,0.47693122604458105,-1.4540408110282002,2,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1.2006900893562724
9660,0.509316054961926,-0.5065919164222484,0.18946898572534393,1.4721252339323472,-0.09004026494592446,1.6471966252158718,-1.0058516991026796,-0.6258635316811727,1.1213192253667634,-0.2948378441125705,1.4543067198989672,1.4449218825567476,1.4718964368813727,0.4898783058016274,1.4706742426431563,0.48638937610826977,0.47693122604458105,-0.4818284474094517,2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1.0210835782656704
3564,1.8311723728100853,0.4249000692764709,0.044526371186372066,2.428521269901087,-0.18219918474650446,0.986202794872424,0.005867974104602262,-0.6258635316811727,-0.9507073917123118,-0.002664501278201933,-2.4002035369231036,-1.4547808719219755,-1.446602777027496,-1.45988609539888,-0.48098688487745467,-0.48116458471979834,-1.4677424785204796,1.462596279828045,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-1.0578863413921171
1025,-0.09184898218493318,-0.9723379092716081,0.28609739541799184,0.034787417662182296,-1.3678986169836693,-0.6662817809861953,2.0293073205191656,-0.6258635316811727,-0.6138881309240545,-0.003508218117634932,0.49067915569344955,-0.48821328709573447,-0.4737697057245398,0.4898783058016274,-0.48098688487745467,0.48638937610826977,1.4492680783271112,-0.4818284474094517,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,-0.7679684180081285
4414,-0.6429169329028874,0.4249000692764709,1.7355235408077105,-0.6862330334384406,1.3682188125387305,-1.3272756113296431,1.0175876473118841,-0.6258635316811727,-0.9909095108688587,-1.8658884350189253,-0.47294840851206826,-0.48821328709573447,-2.4194358483304526,0.4898783058016274,-1.45681744863776,-1.4487185455478664,-0.4954056262379492,-0.4818284474094517,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,-1.1819237182930176
884,-0.6643970114547,-0.04084592357288879,-1.1633287499717269,1.1888758373135002,0.765512612695692,-0.3357848658144715,0.005867974104602262,-0.6258635316811727,-1.1223357660912832,-0.8187109914101514,0.49067915569344955,1.4449218825567476,1.4718964368813727,-0.48500389479862627,1.4706742426431563,-0.48116458471979834,0.47693122604458105,0.4903839162092966,2,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,-1.235489134020481
3647,-0.5224899118607895,-0.04084592357288879,-1.5498423887423185,1.1152120073715515,0.4372340440282352,-0.3357848658144715,0.005867974104602262,0.9466579047036832,-0.5164160096941325,0.11704408391140037,-1.436575972717586,-0.48821328709573447,-0.4737697057245398,-0.48500389479862627,0.4948436788828508,-0.48116458471979834,-2.4400793308030098,-0.4818284474094517,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,-0.43494248235809785
2716,-0.5761208176643475,-0.04084592357288879,1.349009902037119,-0.3259717572414408,0.705122055700021,-0.9967786961579193,-1.0058516991026796,-0.6258635316811727,-0.6923904320288837,-0.06257468458276387,-0.47294840851206826,-1.4547808719219755,-1.446602777027496,1.4647605064018812,-0.48098688487745467,0.48638937610826977,0.47693122604458105,1.462596279828045,2,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,-0.8109099972707209
